48, Bonjibod, 2018-11-15 15:38:50, Assessment - DETAILS, tbl_assessment_details, ADD, 1696
70, Bermejo, 2018-12-05 10:31:55, Assessment - APPROVED, tbl_assessment, UPDATE, 11
47, Sarabia, 2018-12-05 10:32:16, Assessment - DETAILS, tbl_assessment_details, ADD, 10
47, Sarabia, 2018-12-05 10:32:16, Business Lines, tbl_application_business_line, UPDATE, 10
47, Sarabia, 2018-12-05 10:32:16, Application - EMPLOYEES, tbl_application_form, UPDATE, 10
47, Sarabia, 2018-12-05 10:32:28, Assessment - ASSESSED, tbl_assessment, ADD, 10
47, Sarabia, 2018-12-05 10:32:28, Assessment - ASSESSED, tbl_assessment_fees, ADD, 10
47, Sarabia, 2018-12-05 10:32:28, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 10
48, Bonjibod, 2018-12-05 10:34:45, Assessment - DETAILS, tbl_assessment_details, ADD, 12
48, Bonjibod, 2018-12-05 10:34:45, Business Lines, tbl_application_business_line, UPDATE, 12
48, Bonjibod, 2018-12-05 10:34:45, Application - EMPLOYEES, tbl_application_form, UPDATE, 12
48, Bonjibod, 2018-12-05 10:34:51, Assessment - ASSESSED, tbl_assessment, ADD, 12
48, Bonjibod, 2018-12-05 10:34:51, Assessment - ASSESSED, tbl_assessment_fees, ADD, 12
48, Bonjibod, 2018-12-05 10:34:51, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 12
47, Sarabia, 2018-12-05 10:35:14, Assessment - DETAILS, tbl_assessment_details, ADD, 8
47, Sarabia, 2018-12-05 10:35:14, Business Lines, tbl_application_business_line, UPDATE, 8
47, Sarabia, 2018-12-05 10:35:14, Application - EMPLOYEES, tbl_application_form, UPDATE, 8
47, Sarabia, 2018-12-05 10:35:28, Assessment - ASSESSED, tbl_assessment, ADD, 8
47, Sarabia, 2018-12-05 10:35:28, Assessment - ASSESSED, tbl_assessment_fees, ADD, 8
47, Sarabia, 2018-12-05 10:35:28, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 8
70, Bermejo, 2018-12-05 10:35:44, Assessment - APPROVED, tbl_assessment, UPDATE, 10
70, Bermejo, 2018-12-05 10:36:28, Assessment - APPROVED, tbl_assessment, UPDATE, 8
52, Pabalan, 2018-12-05 10:39:09, Assessment - DETAILS, tbl_assessment_details, ADD, 13
52, Pabalan, 2018-12-05 10:39:09, Business Lines, tbl_application_business_line, UPDATE, 13
52, Pabalan, 2018-12-05 10:39:09, Application - EMPLOYEES, tbl_application_form, UPDATE, 13
47, Sarabia, 2018-12-05 10:39:14, Assessment - DETAILS, tbl_assessment_details, ADD, 13
47, Sarabia, 2018-12-05 10:39:14, Business Lines, tbl_application_business_line, UPDATE, 13
47, Sarabia, 2018-12-05 10:39:14, Application - EMPLOYEES, tbl_application_form, UPDATE, 13
70, Bermejo, 2018-12-05 10:39:18, Assessment - APPROVED, tbl_assessment, UPDATE, 12
52, Pabalan, 2018-12-05 10:39:20, Assessment - ASSESSED, tbl_assessment, ADD, 13
52, Pabalan, 2018-12-05 10:39:20, Assessment - ASSESSED, tbl_assessment_fees, ADD, 13
52, Pabalan, 2018-12-05 10:39:20, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 13
47, Sarabia, 2018-12-05 10:39:20, Assessment - ASSESSED, tbl_assessment, ADD, 13
47, Sarabia, 2018-12-05 10:39:20, Assessment - ASSESSED, tbl_assessment_fees, ADD, 13
47, Sarabia, 2018-12-05 10:39:20, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 13
70, Bermejo, 2018-12-05 10:39:55, Assessment - APPROVED, tbl_assessment, UPDATE, 13
47, Sarabia, 2018-12-05 10:41:49, Assessment - DETAILS, tbl_assessment_details, ADD, 14
47, Sarabia, 2018-12-05 10:41:49, Business Lines, tbl_application_business_line, UPDATE, 14
47, Sarabia, 2018-12-05 10:41:49, Application - EMPLOYEES, tbl_application_form, UPDATE, 14
47, Sarabia, 2018-12-05 10:42:03, Assessment - ASSESSED, tbl_assessment, ADD, 14
47, Sarabia, 2018-12-05 10:42:03, Assessment - ASSESSED, tbl_assessment_fees, ADD, 14
47, Sarabia, 2018-12-05 10:42:03, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 14
70, Bermejo, 2018-12-05 10:42:44, Assessment - APPROVED, tbl_assessment, UPDATE, 14
70, Bermejo, 2018-12-05 10:43:34, Assessment - APPROVED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 10:44:12, Assessment - APPROVED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 10:45:00, Assessment - APPROVED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 10:46:48, Assessment - APPROVED, tbl_assessment, UPDATE, 13
47, Sarabia, 2018-12-05 10:51:39, Assessment - DETAILS, tbl_assessment_details, ADD, 17
47, Sarabia, 2018-12-05 10:51:39, Business Lines, tbl_application_business_line, UPDATE, 17
47, Sarabia, 2018-12-05 10:51:39, Application - EMPLOYEES, tbl_application_form, UPDATE, 17
47, Sarabia, 2018-12-05 10:51:48, Assessment - ASSESSED, tbl_assessment, ADD, 17
47, Sarabia, 2018-12-05 10:51:48, Assessment - ASSESSED, tbl_assessment_fees, ADD, 17
47, Sarabia, 2018-12-05 10:51:48, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 17
47, Sarabia, 2018-12-05 10:52:15, Assessment - DETAILS, tbl_assessment_details, ADD, 16
47, Sarabia, 2018-12-05 10:52:15, Business Lines, tbl_application_business_line, UPDATE, 16
47, Sarabia, 2018-12-05 10:52:15, Application - EMPLOYEES, tbl_application_form, UPDATE, 16
47, Sarabia, 2018-12-05 10:52:23, Assessment - ASSESSED, tbl_assessment, ADD, 16
47, Sarabia, 2018-12-05 10:52:24, Assessment - ASSESSED, tbl_assessment_fees, ADD, 16
47, Sarabia, 2018-12-05 10:52:24, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 16
70, Bermejo, 2018-12-05 10:52:29, Assessment - APPROVED, tbl_assessment, UPDATE, 13
47, Sarabia, 2018-12-05 10:53:18, Assessment - DETAILS, tbl_assessment_details, ADD, 18
47, Sarabia, 2018-12-05 10:53:18, Business Lines, tbl_application_business_line, UPDATE, 18
47, Sarabia, 2018-12-05 10:53:18, Application - EMPLOYEES, tbl_application_form, UPDATE, 18
47, Sarabia, 2018-12-05 10:53:25, Assessment - ASSESSED, tbl_assessment, ADD, 18
47, Sarabia, 2018-12-05 10:53:25, Assessment - ASSESSED, tbl_assessment_fees, ADD, 18
47, Sarabia, 2018-12-05 10:53:25, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 18
70, Bermejo, 2018-12-05 10:53:45, Assessment - APPROVED, tbl_assessment, UPDATE, 17
47, Sarabia, 2018-12-05 10:54:09, Assessment - DETAILS, tbl_assessment_details, ADD, 19
47, Sarabia, 2018-12-05 10:54:09, Business Lines, tbl_application_business_line, UPDATE, 19
47, Sarabia, 2018-12-05 10:54:09, Application - EMPLOYEES, tbl_application_form, UPDATE, 19
47, Sarabia, 2018-12-05 10:54:17, Assessment - ASSESSED, tbl_assessment, ADD, 19
47, Sarabia, 2018-12-05 10:54:18, Assessment - ASSESSED, tbl_assessment_fees, ADD, 19
47, Sarabia, 2018-12-05 10:54:18, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 19
70, Bermejo, 2018-12-05 10:54:27, Assessment - APPROVED, tbl_assessment, UPDATE, 18
70, Bermejo, 2018-12-05 10:55:07, Assessment - APPROVED, tbl_assessment, UPDATE, 19
70, Bermejo, 2018-12-05 10:55:45, Assessment - APPROVED, tbl_assessment, UPDATE, 16
70, Bermejo, 2018-12-05 10:56:58, Assessment - APPROVED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 10:59:40, Assessment - APPROVED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 11:04:26, Assessment - APPROVED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 11:06:48, Assessment - ASSESSED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 11:06:48, Assessment - ASSESSED, tbl_assessment_fees, UPDATE, 13
70, Bermejo, 2018-12-05 11:07:13, Assessment - APPROVED, tbl_assessment, UPDATE, 13
47, Sarabia, 2018-12-05 11:10:43, Assessment - DETAILS, tbl_assessment_details, ADD, 15
47, Sarabia, 2018-12-05 11:10:43, Business Lines, tbl_application_business_line, UPDATE, 15
47, Sarabia, 2018-12-05 11:10:43, Application - EMPLOYEES, tbl_application_form, UPDATE, 15
47, Sarabia, 2018-12-05 11:10:53, Assessment - ASSESSED, tbl_assessment, ADD, 15
47, Sarabia, 2018-12-05 11:10:53, Assessment - ASSESSED, tbl_assessment_fees, ADD, 15
47, Sarabia, 2018-12-05 11:10:53, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 15
70, Bermejo, 2018-12-05 11:12:07, Assessment - APPROVED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 11:20:19, Assessment - ASSESSED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 11:20:19, Assessment - ASSESSED, tbl_assessment_fees, UPDATE, 13
70, Bermejo, 2018-12-05 11:22:14, Assessment - APPROVED, tbl_assessment, UPDATE, 15
70, Bermejo, 2018-12-05 11:22:55, Assessment - APPROVED, tbl_assessment, UPDATE, 13
70, Bermejo, 2018-12-05 11:24:37, Assessment - APPROVED, tbl_assessment, UPDATE, 13
48, Bonjibod, 2018-12-05 14:21:09, Assessment - DETAILS, tbl_assessment_details, ADD, 22
48, Bonjibod, 2018-12-05 14:21:09, Business Lines, tbl_application_business_line, UPDATE, 22
48, Bonjibod, 2018-12-05 14:21:09, Application - EMPLOYEES, tbl_application_form, UPDATE, 22
48, Bonjibod, 2018-12-05 14:21:14, Assessment - ASSESSED, tbl_assessment, ADD, 22
48, Bonjibod, 2018-12-05 14:21:14, Assessment - ASSESSED, tbl_assessment_fees, ADD, 22
48, Bonjibod, 2018-12-05 14:21:14, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 22
52, Pabalan, 2018-12-05 14:21:49, Assessment - DETAILS, tbl_assessment_details, ADD, 23
52, Pabalan, 2018-12-05 14:21:49, Business Lines, tbl_application_business_line, UPDATE, 23
52, Pabalan, 2018-12-05 14:21:49, Application - EMPLOYEES, tbl_application_form, UPDATE, 23
52, Pabalan, 2018-12-05 14:21:55, Assessment - ASSESSED, tbl_assessment, ADD, 23
52, Pabalan, 2018-12-05 14:21:55, Assessment - ASSESSED, tbl_assessment_fees, ADD, 23
52, Pabalan, 2018-12-05 14:21:55, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 23
70, Bermejo, 2018-12-05 14:22:25, Assessment - APPROVED, tbl_assessment, UPDATE, 22
70, Bermejo, 2018-12-05 14:23:53, Assessment - APPROVED, tbl_assessment, UPDATE, 23
48, Bonjibod, 2018-12-05 14:25:01, Assessment - DETAILS, tbl_assessment_details, ADD, 24
48, Bonjibod, 2018-12-05 14:25:01, Business Lines, tbl_application_business_line, UPDATE, 24
48, Bonjibod, 2018-12-05 14:25:01, Application - EMPLOYEES, tbl_application_form, UPDATE, 24
48, Bonjibod, 2018-12-05 14:25:08, Assessment - ASSESSED, tbl_assessment, ADD, 24
48, Bonjibod, 2018-12-05 14:25:08, Assessment - ASSESSED, tbl_assessment_fees, ADD, 24
48, Bonjibod, 2018-12-05 14:25:08, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 24
70, Bermejo, 2018-12-05 14:25:48, Assessment - APPROVED, tbl_assessment, UPDATE, 24
47, Sarabia, 2018-12-05 14:25:55, Assessment - DETAILS, tbl_assessment_details, ADD, 27
47, Sarabia, 2018-12-05 14:25:55, Business Lines, tbl_application_business_line, UPDATE, 27
47, Sarabia, 2018-12-05 14:25:55, Application - EMPLOYEES, tbl_application_form, UPDATE, 27
48, Bonjibod, 2018-12-05 14:25:58, Assessment - DETAILS, tbl_assessment_details, ADD, 25
48, Bonjibod, 2018-12-05 14:25:58, Business Lines, tbl_application_business_line, UPDATE, 25
48, Bonjibod, 2018-12-05 14:25:58, Application - EMPLOYEES, tbl_application_form, UPDATE, 25
47, Sarabia, 2018-12-05 14:26:01, Assessment - ASSESSED, tbl_assessment, ADD, 27
47, Sarabia, 2018-12-05 14:26:01, Assessment - ASSESSED, tbl_assessment_fees, ADD, 27
47, Sarabia, 2018-12-05 14:26:01, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 27
48, Bonjibod, 2018-12-05 14:26:03, Assessment - ASSESSED, tbl_assessment, ADD, 25
48, Bonjibod, 2018-12-05 14:26:03, Assessment - ASSESSED, tbl_assessment_fees, ADD, 25
48, Bonjibod, 2018-12-05 14:26:03, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 25
52, Pabalan, 2018-12-05 14:26:43, Assessment - DETAILS, tbl_assessment_details, ADD, 26
52, Pabalan, 2018-12-05 14:26:43, Business Lines, tbl_application_business_line, UPDATE, 26
52, Pabalan, 2018-12-05 14:26:43, Application - EMPLOYEES, tbl_application_form, UPDATE, 26
52, Pabalan, 2018-12-05 14:26:47, Assessment - ASSESSED, tbl_assessment, ADD, 26
52, Pabalan, 2018-12-05 14:26:47, Assessment - ASSESSED, tbl_assessment_fees, ADD, 26
52, Pabalan, 2018-12-05 14:26:47, Ready to Assess - DONE, tbl_ready_to_assess, UPDATE, 26
70, Bermejo, 2018-12-05 14:26:53, Assessment - APPROVED, tbl_assessment, UPDATE, 27
